,building_name,sold_price,building_beds,building_baths,redfin_estimates,building_location,property_type,property_size,walking_score,transit_score,bike_score,building_description,building_website
0,9420 238th St,"570,000",4,2,"598,867","Floral Park,NY",Single Family Residential,"4,000 ",72.0,,59.0,"""Won't Last! This Spacious 4-Bedroom, 2-Bath Brick Cape Awaits Your Finishing Touches. Beautifully Appointed Rooms With Hardwood Floors On The Main Level. Tons Of Closet Space Throughout, Full Finished Lower Level With Wet Bar And Separate Outside Entrance! Oversized Detached Garage And Private Driveway. Near Shopping, All Major Highways, Bellerose LIRR Or Queens Village RR & Q36. Low Taxes!""",https://www.redfin.com/NY/Floral-Park/9420-238th-St-11001/home/20479955
1,95 Locustwood Blvd,"525,000",3,2,"559,541","Elmont,NY",Single Family Residential,"4,000 ",39.0,55.0,42.0,"""Magnificent Expanded Cape That's Much Larger Than Appears! Beautifully Updated Kitchen With Granite Counter Top's & New Appliances. Spacious Bedrooms With Ample Closet Space Throughout! Loft On The Upper Level Is Perfect For An Office Or Den. Tons Of Storage Space! Full Finished Lower Level With Wet Bar And Separate Outside Entrance! Upgraded Electric! A Must See!""",https://www.redfin.com/NY/Elmont/95-Locustwood-Blvd-11003/home/20471244
2,852 Cypress Ave Unit 2F,"700,000",,,,"Queens,NY",Condo/Co-op,,99.0,98.0,81.0,,https://www.redfin.com/NY/Queens/852-Cypress-Ave-11385/unit-2F/home/28685492
3,75-05 Utopia Pkwy,"775,000",3,3,"803,383","Flushing,NY",Single Family Residential,"1,440 ",90.0,63.0,64.0,"""Large home conveniently located in the heart of Fresh Meadows, in one of the best school districts in the city!  This move-in ready home is bursting with fantastic features and upgrades, such as beautiful wooden floors throughout, main floor full bath, an attached garage, and a walk-out basement with convenient full bath and separate entrance. The renovated kitchen features wooden cabinets, great counter space, tile flooring and stainless steel appliances! The main floor also features an additional bonus room that could be used as an office space, den or playroom. The 2nd floor features 3 generously sized bedrooms with closets and an updated full bathroom. Recent upgrades to the home include new windows, front patio, kitchen and bathroom renovations. Close to mass transit, St. John's University, major highways, schools and playgrounds, the location can't be beat!""",https://www.redfin.com/NY/Flushing/75-05-Utopia-Pkwy-11366/home/20814077
4,146-30 177th St,"900,000",6,4,"922,498","Jamaica,NY",Multi-Family (2-4 Unit),"4,000 ",64.0,62.0,50.0,"""Don't miss this meticulously maintained 3 over 3 home with a full finished basement complete with full bath and separate entrance. This 2 family house features 2 spacious master suites with updated ensuite bathrooms, hardwood floors throughout, and 2 open concept kitchens upgraded with high-end stainless steel appliances. Close to the highway and highly performing and sought after Success Academy Charter Schools, the location can't be beat!""",https://www.redfin.com/NY/Queens/146-30-177th-St-11434/home/20689804
5,209-39 23rd Ave Ave Unit 1K,"445,000",3,2,"431,237","Bayside,NY",Condo/Co-op,,72.0,50.0,48.0,"""Don't miss this totally renovated 3 Bedroom in the heart of Bayside, conveniently located 1 block from PS 169 and the Bay Terrace Mall! As you enter, you are greeted with gleaming hardwood floors and an open floor plan including a spacious living area, and dedicated dining area right off the full kitchen which is complete with tile flooring, stainless steel appliances, granite countertops and stylish tiled backsplash! Off of the kitchen leads to the hall which houses the 3 generously sized bedrooms with closets and 2 full updated baths, including the beautiful master bedroom with ensuite bath. Building amenities include outdoor playground, shared courtyard, and community room.""",https://www.redfin.com/NY/Queens/209-39-23rd-Ave-11360/unit-1K/home/21708923
6,153-40 58th Ave,"800,000",,,"858,014","Flushing,NY",Single Family Residential,"1,800 ",75.0,68.0,76.0,,https://www.redfin.com/NY/Flushing/153-40-58th-Ave-11355/home/20827961
7,91 N Lotus Oval,"629,000",4,3,"634,592","Valley Stream,NY",Single Family Residential,"6,000 ",60.0,59.0,45.0,"""Great opportunity in Mill Brook section of Valley Stream!  This house is much larger than it seems. Large ranch home With  4 bedrooms, 3 baths. CAC,Hardwood Floors throughout,Large Family Rm with sliders that lead out to deck & large fenced in yard. Huge Fin. Basement W/Full Bath and separate entrance. Master Bdrm W/Bath. Home is located mid block. Close to LIRR and Green Acres shopping center. This is definitely a must see!""",https://www.redfin.com/NY/Valley-Stream/91-Lotus-Oval-N-11581/home/19997710
8,107-74 111th St,"770,000",4,2,"777,808","Richmond Hill S.,NY",Multi-Family (2-4 Unit),"3,503 ",89.0,81.0,52.0,"""Opportunity awaits in this large 2-Family Home located in South Richmond Hill. Located on a Corner Lot, this Duplex offers maximum convenience to schools, shopping and all major transportation. Equipped with a private driveway, 2-car detached garage and  full finished basement with OSE. Don't miss the chance to call this property yours today!""",https://www.redfin.com/NY/Queens/107-74-111th-St-11419/home/20770017
9,194-43 114th Rd,"615,000",,,"662,398","Queens,NY",Multi-Family (2-4 Unit),"3,000 ",72.0,58.0,51.0,,https://www.redfin.com/NY/Queens/194-43-114th-Rd-11412/home/20742849
10,1533 W 3rd St,"818,000",3,2,"848,114","Brooklyn,NY",Single Family Residential,"2,000 ",92.0,95.0,67.0,"""Public Remarks: Location, location, location. Move in Condition, Fully Detached 1 Family Home featuring hardwood floor throughout. Beautiful Bay window letting the sunshine into the house. Spacious living room and dining room on first floor, Eat in Kitchen with door leading out to back yard and detached 2 car Garage, three bedrooms upstairs, full Bathroom and an attic on the top. Full basement with rec room, full Bathroom, laundry room and lots of storage. The Gas boiler is 4 years old. Walking distance to trains and buses. Must see this beautiful home!""",https://www.redfin.com/NY/Brooklyn/1533-W-3rd-St-11204/home/40837574
11,31 Woodcutters Ln,"475,000",3,2,"506,618","Staten Island,NY",Single Family Residential,"1,092 ",71.0,63.0,36.0,"""Public Remarks: GORGEOUS 1-FAMILY, 3-BEDROOM, 1.5-BATH, MULTI-LEVEL, TOWN HOME WITH A FINISHED BASEMENT FAMILY ROOM, BUILT IN GARAGE, AND PRIVATE YARD, IN EXCELLENT, MOVE-IN CONDITION. SITUATED IN A WONDERFUL PRIVATE DEVELOPMENT WITH GREAT AMENITIES  INCLUDING SWIMMING POOLS, BASKETBALL AND TENNIS COURTS, AND CLUBHOUSE. CONVENIENTLY AND CENTRALLY LOCATED 15-20 MINUTES FROM VZ BRIDGE, CLOSE TO PARKS, SCHOOLS, SHOPPING, RESTAURANTS AND TRAIN STATION. FEATURING AN EXCELLENT SPLIT-LEVEL LAY OUT WITH LARGE ROOMS, LIVING ROOM WITH HIGH CEILINGS, MASTER BEDROOM WITH CATHEDRAL CEILINGS, GLEAMING HARDWOOD FLOORS, CUSTOM LARGE MODERN KITCHEN WITH STAINLESS STEEL APPLIANCES, NUMEROUS RECESSED LIGHTS AND MORE! LEV1: ENTRY FOYER, GARAGE, 1/2 BATH. LEV2: LIVING ROOM W/ SLIDERS TO DECK. LEV3: DINING ROOM, KITCHEN. LEV4: 3 BEDROOMS, FULL BATH""",https://www.redfin.com/NY/Staten-Island/31-Woodcutters-Ln-10306/home/56124468
12,827 59 St,,5,2,"1,411,082","Brooklyn,NY",Multi-Family (2-4 Unit),"2,003 ",97.0,97.0,64.0,"""Sunset Park-Super Hot Location!!!  It Doesn't Get Much Better Than This-Steps To 8th Avenue!!!, 2 Family Brick, 6 Rooms Over 5 Rooms Plus Full Basement With Front And Rear Entrances, High Ceilings, Parquet Floors, Breezeway In Between Houses Next Door Gives You Windows In Every Room, Super Bright And Airy, Vacant And Ready To Show, All Brick Even The Foundation, Forced Air Gas Heat, Gas Hot Water, Updated Roof, Replacement Windows Throughout, Exterior Is Waterproofed, House Size 20'x55', Lot Size 20'x100', Year Built 1899, Taxes $7,202, R6 Zoning Allows For Adding Additional Square Footage (Verify With Your Architect), Opportunity Knocks On A Street In Brooklyn, Don't Miss This One!!, Owners Are Ready To Start Hearing Offers""",https://www.redfin.com/NY/Brooklyn/827-59th-St-11220/home/40807480
